[SETTINGS]
#map_size(width)	map_size(height)
1160	2020
# type :0 = Mario , 1 = Brick, 3=LaseGuard, 4= BallCarry, 5=BallBot, 6=Drap,
# 7=GX680, 8=GX680S, 9 = Stuka, 10 = Eyelet, 11=interrup, 12=interrup_bullet
#Obj_type	x	y	ani_set

[MapObj]
#widht height path
126	33	QuadTree\map2.txt
[OBJECTS]
# ENEMIES
8	47	261	3010
8	47	422	3010
8	78	636	3010
8	112	895	3010
8	46	1038	3010
8	96	1310	3010
8	144	1340	3010
8	48	1358	3010
8	111	1406	3010
8	177	1916	3010
8	303	1918	3010
8	447	1935	3010
8	447	1342	3010

7	191	294	3009
7	191	523	3009
7	175	781	3009
7	191	1132	3009
7	47	1547	3009
7	47	1645	3009
7	64	1916	3009
7	401	1886	3009
7	431	1672	3009


6	207	1809	3011
6	288	1615	3011
6	463	1548	3011
6	288	1484	3011

3	292	1788	3012
3	463	1804	3012
